Matr’cula Primer A–o;Matr’cula Total Cohorte A–o Anterior;N¡ ProgramasConsiderados;A–o;C—dgo SIES;Matr’cula primer a–o hombres;Matr’cula primer a–o mujeres;Matr’cula total hombres;Matr’cula total mujeres;Retenci—n
19;16;1;2019;I143S24C469J1V1;0;19;2;59;0,842105263
24;19;1;2020;I143S24C469J1V1;1;23;1;58;0,791666667
18;16;1;2018;I143S24C469J2V1;0;18;0;18;0,888888889
18;17;1;2019;I143S24C469J2V1;0;18;0;35;0,944444444
12;9;1;2020;I143S24C469J2V1;0;12;0;46;0,75
13;8;1;2018;I143S24C616J1V1;12;1;12;1;0,615384615
18;9;1;2020;I143S24C616J1V1|I143S24C616J1V2;14;4;20;5;0,5
26;18;1;2018;I143S24C616J2V1;24;2;25;2;0,692307692
45;27;1;2019;I143S24C616J2V1|I143S24C616J2V2;44;1;61;3;0,6
28;15;1;2020;I143S24C616J2V1|I143S24C616J2V2;28;0;67;2;0,535714286
21;17;1;2019;I143S24C62J1V1;1;20;1;21;0,80952381
20;19;1;2020;I143S24C62J1V1;1;19;2;34;0,95
21;16;1;2016;I143S24C62J2V1;3;18;3;18;0,761904762
18;18;1;2017;I143S24C62J2V1;1;17;4;30;1
17;14;1;2018;I143S24C62J2V1;1;16;5;45;0,823529412
20;12;1;2019;I143S24C62J2V1;3;17;5;51;0,6
19;14;1;2020;I143S24C62J2V1;0;19;1;45;0,736842105
21;10;1;2018;I143S24C644J2V1;15;6;16;6;0,476190476
29;15;1;2019;I143S24C644J2V1;21;8;30;9;0,517241379
14;13;1;2018;I143S24C645J2V1;6;8;7;8;0,928571429
;;0;2019;I143S24C645J2V1;1;1;8;8;
18;14;1;2019;I143S24C651J1V1;7;11;8;12;0,777777778
22;16;1;2020;I143S24C651J1V1;9;13;13;24;0,727272727
46;33;1;2019;I143S24C651J2V1;13;33;14;33;0,717391304
36;23;1;2020;I143S24C651J2V1;18;18;32;40;0,638888889
;;0;2020;I143S24C673J2V1;1;0;1;0;
21;12;1;2020;I143S24C677J1V1;18;3;47;8;0,571428571
21;12;1;2020;I143S24C677J2V1;17;4;45;7;0,571428571
74;51;1;2016;I143S24C69J1V1;20;54;41;141;0,689189189
46;36;1;2017;I143S24C69J1V1;13;33;40;123;0,782608696
31;24;1;2018;I143S24C69J1V1;8;23;28;95;0,774193548
33;27;1;2019;I143S24C69J1V1;8;25;25;89;0,818181818
39;27;1;2016;I143S24C69J2V1;16;23;24;74;0,692307692
31;23;1;2017;I143S24C69J2V1;12;19;26;70;0,741935484
21;11;1;2018;I143S24C69J2V1;10;11;23;55;0,523809524
14;9;1;2019;I143S24C69J2V1;7;7;18;37;0,642857143
55;39;1;2016;I143S24C70J1V1;3;52;11;125;0,709090909
38;32;1;2017;I143S24C70J1V1;1;37;5;121;0,842105263
22;15;1;2018;I143S24C70J1V1;1;21;4;79;0,681818182
30;22;1;2019;I143S24C70J1V1;0;30;1;76;0,733333333
40;31;1;2016;I143S24C70J2V1;6;34;6;34;0,775
21;14;1;2017;I143S24C70J2V1;2;19;5;51;0,666666667
14;9;1;2018;I143S24C70J2V1;1;13;5;52;0,642857143
11;7;1;2019;I143S24C70J2V1;2;9;4;29;0,636363636
2;2;1;2017;I143S24C77J2V2;;2;16;26;1
29;22;1;2019;I143S24C83J1V1;7;22;16;67;0,75862069
24;19;1;2020;I143S24C83J1V1;6;18;8;54;0,791666667
25;18;1;2016;I143S24C83J1V1 + I143S24C31J1V1;2;23;4;65;0,72
62;47;1;2016;I143S24C83J2V2;6;56;14;110;0,758064516
60;48;1;2017;I143S24C83J2V2;9;51;21;135;0,8
39;29;1;2018;I143S24C83J2V2;9;30;17;110;0,743589744
51;20;1;2019;I143S24C83J2V2;9;42;21;98;0,392156863
26;21;1;2020;I143S24C83J2V2;4;22;7;55;0,807692308
18;11;1;2020;I143S24C84J1V1;8;10;8;10;0,611111111
6;3;1;2020;I143S24C84J2V1;4;2;4;2;0,5
13;10;1;2016;I143S24C94J2V2;8;5;9;5;0,769230769
19;16;1;2017;I143S24C94J2V2;12;7;18;11;0,842105263
20;10;1;2018;I143S24C94J2V2;15;5;28;12;0,5
31;15;1;2019;I143S24C94J2V2;30;1;42;2;0,483870968
57;45;1;2016;I143S25C100J1V1;3;54;21;168;0,789473684
68;61;1;2017;I143S25C100J1V1;8;60;23;211;0,897058824
44;44;1;2018;I143S25C100J1V1;4;40;20;183;1
15;13;1;2019;I143S25C100J1V1;1;14;13;166;0,866666667
19;13;1;2020;I143S25C100J1V1;2;17;11;137;0,684210526
23;22;1;2018;I143S25C100J2V2;3;20;3;21;0,956521739
21;15;1;2019;I143S25C100J2V2;1;20;4;43;0,714285714
1;1;1;2017;I143S25C111J2V2;1;;13;17;1
1;1;1;2018;I143S25C111J2V2;0;1;11;25;1
1;1;1;2019;I143S25C111J2V2;0;1;7;21;1
10;10;1;2018;I143S25C112J2V1;6;4;9;13;1
3;3;1;2019;I143S25C112J2V1;2;1;14;16;1
2;2;1;2020;I143S25C112J2V1|I143S25C112J2V2;0;2;14;12;1
1;1;1;2016;I143S25C113J2V2;0;1;10;30;1
1;1;1;2017;I143S25C113J2V2;1;;19;60;1
2;1;1;2018;I143S25C113J2V2;0;2;15;42;0,5
5;3;1;2019;I143S25C113J2V2;1;4;16;58;0,6
5;3;1;2020;I143S25C113J2V2;2;3;12;51;0,6
30;27;1;2016;I143S25C115J2V2;9;21;29;54;0,9
36;22;1;2017;I143S25C115J2V2;8;28;23;60;0,611111111
30;25;1;2018;I143S25C115J2V2;10;20;18;48;0,833333333
22;15;1;2016;I143S25C116J2V2;17;5;30;16;0,681818182
23;16;1;2017;I143S25C116J2V2;19;4;34;16;0,695652174
23;15;1;2016;I143S25C117J2V2;11;12;18;20;0,652173913
20;16;1;2017;I143S25C117J2V2;14;6;28;18;0,8
28;15;1;2018;I143S25C117J2V2;21;7;33;18;0,535714286
25;21;1;2016;I143S25C118J1V1;6;19;7;31;0,84
20;15;1;2017;I143S25C118J1V1;3;17;8;34;0,75
26;21;1;2018;I143S25C118J1V1;7;19;11;40;0,807692308
38;30;1;2016;I143S25C118J2V2;8;30;23;68;0,789473684
31;25;1;2017;I143S25C118J2V2;9;22;19;59;0,806451613
42;30;1;2018;I143S25C118J2V2;17;25;28;65;0,714285714
17;13;1;2020;I143S25C17J1V1|I143S25C677J1V1;16;1;16;1;0,764705882
15;11;1;2016;I143S25C17J2V2;12;3;34;7;0,733333333
3;3;1;2016;I143S25C23J2V2;2;1;44;6;1
1;1;1;2017;I143S25C23J2V2;1;;77;9;1
4;3;1;2018;I143S25C23J2V2;3;1;89;15;0,75
1;1;1;2019;I143S25C23J2V2;1;0;89;12;1
2;1;1;2020;I143S25C23J2V2;2;0;71;15;0,5
22;17;1;2016;I143S25C26J1V1;14;8;44;14;0,772727273
24;19;1;2017;I143S25C26J1V1;21;3;44;9;0,791666667
13;6;1;2018;I143S25C26J1V1;10;3;32;6;0,461538462
15;9;1;2019;I143S25C26J1V1;12;3;29;5;0,6
17;8;1;2020;I143S25C26J1V1;11;6;22;9;0,470588235
72;48;1;2016;I143S25C26J2V2;61;11;131;15;0,666666667
70;51;1;2017;I143S25C26J2V2;61;9;119;25;0,728571429
73;46;1;2018;I143S25C26J2V2;66;7;133;18;0,630136986
57;34;1;2019;I143S25C26J2V2;49;8;121;23;0,596491228
56;31;1;2020;I143S25C26J2V2|I143S25C26J2V1;51;5;104;12;0,553571429
28;21;1;2016;I143S25C27J1V1;16;12;42;41;0,75
41;28;1;2016;I143S25C27J2V2;22;19;51;51;0,682926829
25;19;1;2017;I143S25C27J2V2;18;7;48;39;0,76
22;17;1;2018;I143S25C27J2V2;14;8;37;22;0,772727273
10;4;1;2019;I143S25C27J2V2;4;6;23;21;0,4
13;9;1;2020;I143S25C27J2V2|I143S25C27J2V1;7;6;20;17;0,692307692
18;18;1;2018;I143S25C28J1V1;3;15;3;17;1
7;7;1;2018;I143S25C28J2V2;3;4;15;39;1
6;5;1;2020;I143S25C28J2V2;2;4;17;60;0,833333333
38;31;1;2016;I143S25C29J1V1;0;38;0;84;0,815789474
58;46;1;2017;I143S25C29J1V1;;58;;111;0,793103448
57;45;1;2018;I143S25C29J1V1;0;57;0;143;0,789473684
17;17;1;2019;I143S25C29J1V1;0;17;0;112;1
24;20;1;2020;I143S25C29J1V1;0;24;0;90;0,833333333
66;55;1;2018;I143S25C29J2V1;0;66;0;68;0,833333333
53;38;1;2019;I143S25C29J2V1;0;53;0;112;0,716981132
37;25;1;2020;I143S25C29J2V1|I143S25C29J2V2;0;37;0;128;0,675675676
20;12;1;2016;I143S25C302J2V2;18;2;49;5;0,6
14;12;1;2017;I143S25C302J2V2;13;1;33;4;0,857142857
12;8;1;2018;I143S25C302J2V2;11;1;42;5;0,666666667
11;5;1;2019;I143S25C302J2V2;10;1;35;3;0,454545455
14;10;1;2020;I143S25C30J2V1;3;11;3;11;0,714285714
34;24;1;2016;I143S25C31J1V1;10;24;21;40;0,705882353
40;29;1;2017;I143S25C31J1V1;12;28;27;58;0,725
13;10;1;2018;I143S25C31J1V1;4;9;18;48;0,769230769
33;28;1;2016;I143S25C323J1V1;0;33;1;93;0,848484848
32;27;1;2017;I143S25C323J1V1;1;31;1;98;0,84375
31;25;1;2018;I143S25C323J1V1;3;28;4;91;0,806451613
35;27;1;2019;I143S25C323J1V1;0;35;3;86;0,771428571
76;60;1;2020;I143S25C34J1V1;12;64;12;65;0,789473684
41;29;1;2020;I143S25C34J2V1;12;29;12;29;0,707317073
35;29;1;2016;I143S25C469J1V1;2;33;3;72;0,828571429
27;24;1;2017;I143S25C469J1V1;2;25;2;78;0,888888889
36;34;1;2018;I143S25C469J1V1;1;35;2;100;0,944444444
25;22;1;2019;I143S25C469J1V1;1;24;3;92;0,88
16;11;1;2020;I143S25C469J1V1;0;16;2;77;0,6875
34;29;1;2019;I143S25C469J2V2;3;31;3;31;0,852941176
18;13;1;2020;I143S25C469J2V2;3;15;6;42;0,722222222
25;17;1;2016;I143S25C616J1V1;25;0;65;0;0,68
21;14;1;2017;I143S25C616J1V1;20;1;56;1;0,666666667
14;9;1;2020;I143S25C616J1V1|I143S25C616J1V2;13;1;16;1;0,642857143
36;21;1;2016;I143S25C616J2V2;35;1;86;2;0,583333333
38;25;1;2017;I143S25C616J2V2;37;1;90;2;0,657894737
39;25;1;2018;I143S25C616J2V2;37;2;85;2;0,641025641
47;27;1;2019;I143S25C616J2V2|I143S25C616J2V3;46;1;97;1;0,574468085
46;24;1;2020;I143S25C616J2V2|I143S25C616J2V3|I143S25C616J2V1;44;2;89;4;0,52173913
18;6;1;2018;I143S25C634J2V1;17;1;17;1;0,333333333
26;24;1;2016;I143S25C636J1V1;24;2;35;2;0,923076923
32;24;1;2017;I143S25C636J1V1;30;2;63;4;0,75
26;22;1;2018;I143S25C636J1V1;26;0;69;3;0,846153846
22;18;1;2019;I143S25C636J1V1|I143S25C636J1V2;22;0;64;0;0,818181818
19;9;1;2020;I143S25C636J1V1|I143S25C636J1V2;17;2;58;2;0,473684211
44;31;1;2016;I143S25C636J2V2;43;1;64;2;0,704545455
35;30;1;2017;I143S25C636J2V2;35;;84;1;0,857142857
41;30;1;2018;I143S25C636J2V2;40;1;100;2;0,731707317
31;26;1;2019;I143S25C636J2V2|I143S25C636J2V3;30;1;87;2;0,838709677
22;12;1;2020;I143S25C636J2V2|I143S25C636J2V3|I143S25C636J2V1;22;0;74;2;0,545454545
13;13;1;2018;I143S25C645J2V1;10;3;11;4;1
16;12;1;2019;I143S25C645J2V1;13;3;25;7;0,75
19;10;1;2020;I143S25C645J2V1;14;5;33;11;0,526315789
21;9;1;2019;I143S25C651J1V1;8;13;8;15;0,428571429
18;17;1;2020;I143S25C651J1V1;7;11;10;18;0,944444444
79;43;1;2019;I143S25C651J2V1;36;43;38;45;0,544303797
38;32;1;2020;I143S25C651J2V1;12;26;28;55;0,842105263
18;15;1;2020;I143S25C653J1V1;7;11;7;11;0,833333333
41;29;1;2020;I143S25C653J2V1;13;28;13;29;0,707317073
15;12;1;2020;I143S25C664J2V1;14;1;37;2;0,8
12;10;1;2020;I143S25C677J2V1|I143S25C17J2V2|I143S25C17J2V1;10;2;10;2;0,833333333
;;0;2020;I143S25C680J2V1;6;1;7;1;
35;27;1;2016;I143S25C69J1V1;7;28;24;78;0,771428571
31;24;1;2017;I143S25C69J1V1;8;23;25;74;0,774193548
34;29;1;2018;I143S25C69J1V1;14;20;30;66;0,852941176
39;27;1;2019;I143S25C69J1V1;15;24;34;67;0,692307692
31;22;1;2019;I143S25C69J2V1;10;21;12;24;0,709677419
36;25;1;2016;I143S25C70J1V1;1;35;2;102;0,694444444
32;27;1;2017;I143S25C70J1V1;1;31;2;92;0,84375
32;23;1;2018;I143S25C70J1V1;2;30;4;89;0,71875
40;34;1;2019;I143S25C70J1V1;5;35;9;89;0,85
35;31;1;2016;I143S25C71J1V1;5;30;8;75;0,885714286
28;18;1;2017;I143S25C71J1V1;2;26;8;87;0,642857143
30;24;1;2018;I143S25C71J1V1;7;23;12;71;0,8
20;15;1;2019;I143S25C71J1V1;6;14;13;55;0,75
4;4;1;2016;I143S25C77J2V2;1;3;39;24;1
6;6;1;2017;I143S25C77J2V2;2;4;43;50;1
8;8;1;2018;I143S25C77J2V2;6;2;47;60;1
13;9;1;2019;I143S25C77J2V2;7;6;40;52;0,692307692
20;18;1;2019;I143S25C83J1V1;3;17;11;47;0,9
28;18;1;2020;I143S25C83J1V1;4;24;8;47;0,642857143
34;28;1;2016;I143S25C83J2V2;10;24;21;40;0,823529412
37;35;1;2017;I143S25C83J2V2;7;30;23;79;0,945945946
36;31;1;2018;I143S25C83J2V2;6;30;26;87;0,861111111
74;37;1;2019;I143S25C83J2V2;15;59;30;133;0,5
40;26;1;2020;I143S25C83J2V2;8;32;16;75;0,65
17;12;1;2020;I143S25C92J1V1;3;14;3;14;0,705882353
19;11;1;2016;I143S25C94J1V1;16;3;16;3;0,578947368
20;15;1;2017;I143S25C94J1V1;20;;27;2;0,75
15;11;1;2018;I143S25C94J1V1;13;2;31;4;0,733333333
18;13;1;2019;I143S25C94J1V1;18;0;40;2;0,722222222
19;11;1;2017;I143S25C94J2V2;19;;19;1;0,578947368
16;12;1;2018;I143S25C94J2V2;14;2;26;3;0,75
10;4;1;2019;I143S25C94J2V2;8;2;25;5;0,4
59;40;1;2016;I143S26C100J1V1;5;54;20;181;0,677966102
52;34;1;2017;I143S26C100J1V1;5;47;21;177;0,653846154
38;34;1;2018;I143S26C100J1V1;4;34;19;167;0,894736842
31;20;1;2019;I143S26C100J1V1;5;26;20;154;0,64516129
20;17;1;2020;I143S26C100J1V1;4;16;17;119;0,85
43;33;1;2018;I143S26C100J2V1;3;40;3;41;0,76744186
40;33;1;2019;I143S26C100J2V1;0;40;3;79;0,825
20;14;1;2020;I143S26C100J2V1|I143S26C100J2V2;4;16;10;77;0,7
99;61;1;2020;I143S26C110J1V1;17;82;17;83;0,616161616
20;13;1;2016;I143S26C111J1V1;6;14;27;37;0,65
52;40;1;2016;I143S26C111J2V2;25;27;134;156;0,769230769
48;36;1;2017;I143S26C111J2V2;19;29;143;171;0,75
43;33;1;2018;I143S26C111J2V2;22;21;129;146;0,76744186
54;32;1;2019;I143S26C111J2V2;27;27;124;163;0,592592593
25;17;1;2020;I143S26C111J2V2|I143S26C111J2V1;10;15;90;130;0,68
26;19;1;2016;I143S26C112J1V1;11;15;60;49;0,730769231
44;26;1;2016;I143S26C112J2V2;24;20;103;120;0,590909091
31;12;1;2017;I143S26C112J2V2;14;17;91;106;0,387096774
21;15;1;2018;I143S26C112J2V2;15;6;79;88;0,714285714
20;12;1;2019;I143S26C112J2V2;11;9;74;69;0,6
25;20;1;2020;I143S26C112J2V2|I143S26C112J2V1;13;12;60;59;0,8
18;15;1;2016;I143S26C113J1V1;4;14;25;94;0,833333333
62;48;1;2016;I143S26C113J2V2;20;42;137;323;0,774193548
44;35;1;2019;I143S26C113J2V2;13;31;100;253;0,795454545
24;20;1;2020;I143S26C113J2V2|I143S26C113J2V1;9;15;64;182;0,833333333
50;37;1;2016;I143S26C114J2V2;23;27;49;74;0,74
46;36;1;2017;I143S26C114J2V2;19;27;48;69;0,782608696
43;27;1;2018;I143S26C114J2V2;25;18;54;62;0,627906977
31;19;1;2019;I143S26C114J2V2;15;16;44;56;0,612903226
31;22;1;2016;I143S26C115J1V1;14;17;26;38;0,709677419
33;26;1;2017;I143S26C115J1V1;19;14;34;40;0,787878788
27;19;1;2018;I143S26C115J1V1;13;14;33;31;0,703703704
65;48;1;2016;I143S26C115J2V2;27;38;79;93;0,738461538
67;53;1;2017;I143S26C115J2V2;29;38;65;91;0,791044776
63;46;1;2018;I143S26C115J2V2;29;34;78;88;0,73015873
21;17;1;2016;I143S26C117J1V1;11;10;30;30;0,80952381
32;23;1;2017;I143S26C117J1V1;18;14;31;36;0,71875
29;18;1;2018;I143S26C117J1V1;17;12;40;31;0,620689655
54;40;1;2016;I143S26C117J2V2;29;25;72;79;0,740740741
45;26;1;2017;I143S26C117J2V2;24;21;65;63;0,577777778
50;28;1;2018;I143S26C117J2V2;27;23;57;51;0,56
32;22;1;2016;I143S26C118J1V1;13;19;38;51;0,6875
43;35;1;2017;I143S26C118J1V1;15;28;34;60;0,813953488
34;24;1;2018;I143S26C118J1V1;15;19;34;49;0,705882353
63;51;1;2018;I143S26C118J2V2;18;45;64;171;0,80952381
113;91;1;2016;I143S26C118J2V2;26;87;66;198;0,805309735
114;92;1;2017;I143S26C118J2V2;37;77;75;194;0,807017544
;;0;2018;I143S26C118J2V2;18;45;64;171;
;;0;2020;I143S26C118J3V1;0;1;1;16;
13;9;1;2020;I143S26C124J1V1;7;6;7;7;0,692307692
21;11;1;2020;I143S26C124J2V1;5;16;5;16;0,523809524
23;14;1;2016;I143S26C17J1V1;19;4;43;8;0,608695652
41;31;1;2017;I143S26C17J1V1;35;6;76;10;0,756097561
55;38;1;2018;I143S26C17J1V1;50;5;94;12;0,690909091
37;24;1;2019;I143S26C17J1V1|I143S26C677J1V1;33;4;87;11;0,648648649
21;14;1;2020;I143S26C17J1V1|I143S26C677J1V1;17;4;65;11;0,666666667
34;26;1;2016;I143S26C17J2V2;27;7;71;13;0,764705882
31;16;1;2017;I143S26C17J2V2;27;4;74;15;0,516129032
47;33;1;2018;I143S26C17J2V2;36;11;79;21;0,70212766
30;11;1;2019;I143S26C17J2V2|I143S26C677J2V1;28;2;83;14;0,366666667
38;19;1;2020;I143S26C17J2V2|I143S26C677J2V1|I143S26C17J2V1;28;10;61;17;0,5
29;13;1;2020;I143S26C20J1V1;13;16;13;16;0,448275862
23;13;1;2020;I143S26C20J2V1;16;7;16;7;0,565217391
27;13;1;2019;I143S26C219J1V1;23;4;38;6;0,481481481
23;19;1;2020;I143S26C219J1V1;22;1;37;4;0,826086957
52;38;1;2016;I143S26C219J2V2;48;4;166;22;0,730769231
45;29;1;2017;I143S26C219J2V2;39;6;164;18;0,644444444
44;30;1;2018;I143S26C219J2V2;36;8;164;29;0,681818182
51;29;1;2019;I143S26C219J2V2;44;7;175;32;0,568627451
32;20;1;2020;I143S26C219J2V2|I143S26C219J2V1;26;6;172;35;0,625
15;6;1;2020;I143S26C22J2V1;1;14;1;14;0,4
32;14;1;2020;I143S26C23J2V1;27;5;27;5;0,4375
27;19;1;2020;I143S26C24J2V1;18;9;18;9;0,703703704
25;18;1;2020;I143S26C250J1V1;5;20;5;20;0,72
18;10;1;2020;I143S26C250J2V1;9;9;9;9;0,555555556
144;109;1;2020;I143S26C251J1V1;12;132;12;132;0,756944444
40;30;1;2016;I143S26C252J1V1;1;39;8;104;0,75
45;31;1;2017;I143S26C252J1V1;11;34;16;92;0,688888889
18;10;1;2018;I143S26C252J1V1;6;12;14;62;0,555555556
15;8;1;2019;I143S26C252J1V1;2;13;10;50;0,533333333
8;8;1;2020;I143S26C252J1V1;0;8;2;32;1
40;27;1;2020;I143S26C254J1V1;18;22;18;22;0,675
24;13;1;2020;I143S26C254J2V1;7;17;7;18;0,541666667
27;22;1;2016;I143S26C257J2V2;26;1;109;4;0,814814815
19;11;1;2017;I143S26C257J2V2;15;4;116;5;0,578947368
24;15;1;2018;I143S26C257J2V2;23;1;122;4;0,625
15;9;1;2019;I143S26C257J2V2;15;0;96;3;0,6
17;10;1;2020;I143S26C25J2V1;12;5;12;5;0,588235294
15;13;1;2020;I143S26C26J1V1;13;2;13;2;0,866666667
42;14;1;2019;I143S26C26J2V1;33;9;33;9;0,333333333
28;18;1;2020;I143S26C26J2V1;25;3;25;3;0,642857143
41;27;1;2016;I143S26C27J1V1;26;15;78;78;0,658536585
10;8;1;2017;I143S26C27J1V1;4;6;48;45;0,8
14;9;1;2018;I143S26C27J1V1;5;9;23;19;0,642857143
10;8;1;2019;I143S26C27J1V1;4;6;13;19;0,8
43;27;1;2016;I143S26C27J2V2;20;23;83;83;0,627906977
27;21;1;2017;I143S26C27J2V2;18;9;53;47;0,777777778
8;5;1;2018;I143S26C27J2V2;4;4;32;27;0,625
16;10;1;2019;I143S26C27J2V2;12;4;27;13;0,625
20;8;1;2020;I143S26C27J2V2|I143S26C27J2V1;14;6;24;8;0,4
45;36;1;2016;I143S26C29J1V1;0;45;1;135;0,8
72;61;1;2017;I143S26C29J1V1;1;71;1;165;0,847222222
81;65;1;2018;I143S26C29J1V1;0;81;1;179;0,802469136
61;46;1;2019;I143S26C29J1V1;1;60;2;197;0,754098361
44;36;1;2020;I143S26C29J1V1;1;43;2;165;0,818181818
66;56;1;2017;I143S26C29J2V2;;66;;70;0,848484848
54;39;1;2018;I143S26C29J2V2;0;54;0;117;0,722222222
55;47;1;2019;I143S26C29J2V2;0;55;0;150;0,854545455
31;15;1;2020;I143S26C29J2V2;0;31;0;122;0,483870968
25;19;1;2016;I143S26C302J2V2;24;1;57;2;0,76
27;17;1;2017;I143S26C302J2V2;22;5;55;6;0,62962963
24;15;1;2018;I143S26C302J2V2;21;3;49;7;0,625
23;7;1;2019;I143S26C302J2V2|I143S26C302J2V3;20;3;49;7;0,304347826
18;13;1;2020;I143S26C302J2V2|I143S26C302J2V3;15;3;31;6;0,722222222
62;41;1;2016;I143S26C30J1V1;18;44;41;102;0,661290323
55;38;1;2017;I143S26C30J1V1;13;42;39;103;0,690909091
54;42;1;2018;I143S26C30J1V1;15;39;41;97;0,777777778
55;43;1;2019;I143S26C30J1V1;15;40;39;111;0,781818182
29;22;1;2020;I143S26C30J1V1;11;18;38;85;0,75862069
56;35;1;2016;I143S26C30J2V2;25;31;39;71;0,625
64;43;1;2017;I143S26C30J2V2;20;44;43;84;0,671875
46;38;1;2018;I143S26C30J2V2;20;26;43;79;0,826086957
35;27;1;2019;I143S26C30J2V2;14;21;40;76;0,771428571
27;20;1;2020;I143S26C30J2V2;9;18;38;58;0,740740741
99;80;1;2016;I143S26C36J1V1;6;93;8;319;0,808080808
96;71;1;2017;I143S26C36J1V1;2;94;6;273;0,739583333
96;79;1;2018;I143S26C36J1V1;2;94;6;250;0,822916667
87;64;1;2019;I143S26C36J1V1;1;86;6;238;0,735632184
53;39;1;2020;I143S26C36J1V1;2;51;5;201;0,735849057
101;62;1;2016;I143S26C36J2V1;13;88;17;258;0,613861386
101;62;1;2017;I143S26C36J2V1;6;95;14;250;0,613861386
56;39;1;2018;I143S26C36J2V1;1;55;8;175;0,696428571
44;23;1;2019;I143S26C36J2V1;3;41;6;141;0,522727273
16;9;1;2020;I143S26C36J2V1;0;16;4;80;0,5625
38;26;1;2016;I143S26C373J1V1;5;33;17;83;0,684210526
40;28;1;2017;I143S26C373J1V1;9;31;16;81;0,7
29;20;1;2018;I143S26C373J1V1;8;21;19;71;0,689655172
19;17;1;2019;I143S26C373J1V1;7;12;20;58;0,894736842
20;13;1;2020;I143S26C373J1V1;6;14;20;42;0,65
14;8;1;2019;I143S26C373J2V1;4;10;4;10;0,571428571
14;5;1;2020;I143S26C373J2V1;3;11;5;17;0,357142857
44;29;1;2016;I143S26C376J1V1;43;1;105;4;0,659090909
36;27;1;2017;I143S26C376J1V1;32;4;87;6;0,75
40;26;1;2018;I143S26C376J1V1;37;3;85;5;0,65
38;19;1;2019;I143S26C376J1V1;34;4;75;7;0,5
25;11;1;2020;I143S26C376J1V1;25;0;62;4;0,44
86;47;1;2016;I143S26C376J2V1;82;4;189;8;0,546511628
90;51;1;2017;I143S26C376J2V1;82;8;177;9;0,566666667
101;46;1;2018;I143S26C376J2V1;98;3;198;8;0,455445545
88;35;1;2019;I143S26C376J2V1;84;4;183;8;0,397727273
42;24;1;2020;I143S26C376J2V1;39;3;105;6;0,571428571
24;19;1;2016;I143S26C378J1V1;23;1;80;7;0,791666667
33;26;1;2017;I143S26C378J1V1;30;3;121;5;0,787878788
27;22;1;2018;I143S26C378J1V1;26;1;131;5;0,814814815
20;16;1;2019;I143S26C378J1V1;19;1;115;5;0,8
15;12;1;2020;I143S26C378J1V1;14;1;107;4;0,8
27;8;1;2019;I143S26C378J2V1;24;3;53;4;0,296296296
25;14;1;2020;I143S26C378J2V1;23;2;56;4;0,56
18;11;1;2020;I143S26C38J1V1;16;2;16;2;0,611111111
5;1;1;2020;I143S26C38J2V1;5;0;5;0;0,2
36;27;1;2016;I143S26C39J1V1;15;21;32;65;0,75
30;22;1;2017;I143S26C39J1V1;6;24;23;62;0,733333333
28;22;1;2018;I143S26C39J1V1;8;20;22;54;0,785714286
21;12;1;2019;I143S26C39J1V1;4;17;18;55;0,571428571
9;7;1;2020;I143S26C39J1V1;5;4;15;27;0,777777778
47;41;1;2016;I143S26C39J2V2;12;35;42;97;0,872340426
55;38;1;2017;I143S26C39J2V2;14;41;42;106;0,690909091
39;26;1;2018;I143S26C39J2V2;12;27;37;94;0,666666667
33;25;1;2019;I143S26C39J2V2;9;24;24;87;0,757575758
11;8;1;2020;I143S26C39J2V2;3;8;10;57;0,727272727
40;27;1;2016;I143S26C40J1V1;17;23;42;64;0,675
40;27;1;2017;I143S26C40J1V1;15;25;42;67;0,675
41;22;1;2018;I143S26C40J1V1;19;22;51;64;0,536585366
59;35;1;2019;I143S26C40J1V1;27;32;52;76;0,593220339
28;16;1;2020;I143S26C40J1V1;18;10;52;51;0,571428571
42;23;1;2020;I143S26C43J1V1;38;4;39;4;0,547619048
19;7;1;2020;I143S26C43J2V1;19;0;19;0;0,368421053
54;43;1;2016;I143S26C469J1V1;1;53;3;111;0,796296296
51;41;1;2017;I143S26C469J1V1;2;49;6;126;0,803921569
31;25;1;2018;I143S26C469J1V1;2;29;5;120;0,806451613
24;20;1;2019;I143S26C469J1V1;1;23;2;97;0,833333333
33;26;1;2018;I143S26C469J2V1;1;32;1;33;0,787878788
22;14;1;2019;I143S26C469J2V1;2;20;3;49;0,636363636
12;9;1;2020;I143S26C469J2V1;1;11;2;48;0,75
34;27;1;2020;I143S26C51J1V1;32;2;33;2;0,794117647
37;29;1;2016;I143S26C53J1V1;2;35;13;156;0,783783784
52;40;1;2017;I143S26C53J1V1;7;45;12;130;0,769230769
92;73;1;2018;I143S26C53J1V1;11;81;20;165;0,793478261
98;68;1;2019;I143S26C53J1V1;12;86;29;201;0,693877551
76;57;1;2020;I143S26C53J1V1;14;62;34;195;0,75
29;20;1;2016;I143S26C53J2V1;4;25;5;47;0,689655172
57;43;1;2017;I143S26C53J2V1;11;46;16;94;0,754385965
90;65;1;2018;I143S26C53J2V1;18;72;32;144;0,722222222
79;51;1;2019;I143S26C53J2V1;16;63;40;170;0,64556962
49;29;1;2020;I143S26C53J2V1;13;36;31;141;0,591836735
80;54;1;2020;I143S26C59J1V1;3;77;3;78;0,675
11;7;1;2020;I143S26C59J2V1;1;10;1;11;0,636363636
