Matr’cula Primer A–o;Matr’cula Total Cohorte A–o Anterior;N¡ ProgramasConsiderados;A–o;C—dgo SIES;Matr’cula primer a–o hombres;Matr’cula primer a–o mujeres;Matr’cula total hombres;Matr’cula total mujeres;Retenci—n
31;27;1;2017;I100S24C149J1V1;31;0;163;4;0,870967742
27;20;1;2018;I100S24C149J1V1;26;1;170;3;0,740740741
44;36;1;2019;I100S24C149J1V1;43;1;177;5;0,818181818
71;47;1;2020;I100S24C149J1V1;64;7;206;10;0,661971831
12;9;1;2016;I100S24C149J2V1;12;0;99;2;0,75
18;11;1;2017;I100S24C149J2V1;16;2;104;3;0,611111111
18;8;1;2018;I100S24C149J2V1;18;0;99;3;0,444444444
19;10;1;2019;I100S24C149J2V1;18;1;97;3;0,526315789
18;15;1;2020;I100S24C149J2V1;17;1;91;3;0,833333333
64;49;1;2016;I100S24C150J1V1;37;27;111;146;0,765625
48;37;1;2017;I100S24C150J1V1;23;25;110;156;0,770833333
42;36;1;2018;I100S24C150J1V1;14;28;101;156;0,857142857
42;32;1;2019;I100S24C150J1V1;27;15;107;140;0,761904762
43;38;1;2020;I100S24C150J1V1;21;22;99;122;0,88372093
12;8;1;2016;I100S24C168J1V1;12;0;73;2;0,666666667
15;9;1;2017;I100S24C168J1V1;12;3;56;5;0,6
17;14;1;2018;I100S24C168J1V1;16;1;59;7;0,823529412
23;16;1;2019;I100S24C168J1V1;19;4;66;13;0,695652174
23;15;1;2020;I100S24C168J1V1;18;5;69;13;0,652173913
6;3;1;2016;I100S24C168J2V1;6;0;69;4;0,5
11;7;1;2017;I100S24C168J2V1;8;3;55;7;0,636363636
13;6;1;2018;I100S24C168J2V1;10;3;64;8;0,461538462
14;9;1;2019;I100S24C168J2V1;12;2;48;10;0,642857143
21;11;1;2020;I100S24C168J2V1;19;2;56;14;0,523809524
7;4;1;2017;I100S24C176J2V1;6;1;6;2;0,571428571
21;12;1;2018;I100S24C176J2V1;20;1;26;3;0,571428571
23;17;1;2019;I100S24C176J2V1;20;3;54;6;0,739130435
16;7;1;2020;I100S24C176J2V1;15;1;73;14;0,4375
13;10;1;2016;I100S24C2J1V1;8;5;41;36;0,769230769
23;19;1;2017;I100S24C2J1V1;6;17;34;42;0,826086957
23;18;1;2018;I100S24C2J1V1;9;14;40;47;0,782608696
33;25;1;2019;I100S24C2J1V1;17;16;53;59;0,757575758
32;26;1;2020;I100S24C2J1V1;15;17;55;63;0,8125
14;10;1;2016;I100S26C10J1V1;9;5;60;32;0,714285714
17;9;1;2017;I100S26C10J1V1;10;7;56;27;0,529411765
14;11;1;2018;I100S26C10J1V1;9;5;51;28;0,785714286
10;7;1;2019;I100S26C10J1V1;2;8;36;31;0,7
23;18;1;2016;I100S26C149J1V1;22;1;85;3;0,782608696
31;25;1;2017;I100S26C149J1V1;31;0;92;6;0,806451613
27;20;1;2018;I100S26C149J1V1;24;3;105;7;0,740740741
33;28;1;2019;I100S26C149J1V1;33;0;123;5;0,848484848
40;27;1;2020;I100S26C149J1V1;40;0;143;3;0,675
10;5;1;2016;I100S26C149J2V1;10;0;75;1;0,5
12;6;1;2017;I100S26C149J2V1;12;0;70;2;0,5
18;15;1;2018;I100S26C149J2V1;18;0;75;2;0,833333333
30;18;1;2019;I100S26C149J2V1;29;1;105;1;0,6
28;17;1;2020;I100S26C149J2V1;28;0;121;2;0,607142857
9;6;1;2016;I100S26C150J1V1;3;6;17;31;0,666666667
13;12;1;2017;I100S26C150J1V1;6;7;20;34;0,923076923
15;7;1;2018;I100S26C150J1V1;9;6;27;36;0,466666667
16;14;1;2019;I100S26C150J1V1;6;10;27;35;0,875
32;28;1;2016;I100S26C176J1V1;21;11;98;36;0,875
38;30;1;2017;I100S26C176J1V1;33;5;112;35;0,789473684
26;20;1;2018;I100S26C176J1V1;24;2;113;30;0,769230769
26;22;1;2019;I100S26C176J1V1;19;7;115;33;0,846153846
39;22;1;2020;I100S26C176J1V1;36;3;119;26;0,564102564
22;11;1;2016;I100S26C176J2V1;21;1;82;11;0,5
17;10;1;2017;I100S26C176J2V1;9;8;81;16;0,588235294
16;9;1;2018;I100S26C176J2V1;11;5;88;19;0,5625
15;10;1;2019;I100S26C176J2V1;14;1;73;10;0,666666667
29;16;1;2020;I100S26C176J2V1;22;7;88;21;0,551724138
18;11;1;2016;I100S26C274J1V1;14;4;46;25;0,611111111
14;13;1;2017;I100S26C274J1V1;8;6;44;29;0,928571429
18;13;1;2018;I100S26C274J1V1;10;8;50;28;0,722222222
26;19;1;2019;I100S26C274J1V1;14;12;55;36;0,730769231
29;21;1;2020;I100S26C274J1V1;15;14;63;51;0,724137931
16;11;1;2016;I100S26C2J1V1;5;11;41;28;0,6875
15;12;1;2017;I100S26C2J1V1;7;8;37;30;0,8
18;16;1;2018;I100S26C2J1V1;9;9;46;43;0,888888889
24;20;1;2019;I100S26C2J1V1;12;12;49;45;0,833333333
25;16;1;2020;I100S26C2J1V1;15;10;50;49;0,64
21;16;1;2016;I100S28C10J1V1;9;12;29;35;0,761904762
